start,end,Date and Time,"Name of the Bus Stop (as displayed on the shelter, if no info is available write the commonly known name)",Survey Location,_Survey Location_latitude,_Survey Location_longitude,_Survey Location_altitude,_Survey Location_precision,"If Location field is not working, please enter coordinates from google maps or paste the location URL",Type of Bus Stop,Condition of Bus Shelter,How is the bus stop positioned relative to the road?,"How is the bus stop positioned relative to the road?/Set back from the road – against a wall, compound, or building edge",How is the bus stop positioned relative to the road?/On the road edge / footpath edge – directly adjacent to traffic,How is the bus stop positioned relative to the road?/The road/footpath is too narrow ,Relationship between Bus Stop and Pedestrians,Is there space behind the bus shelter for pedestrians to walk/wheelchair to move freely?,Is there space between the bus shelter and the road for pedestrians to walk/wheelchair to move freely? ,"Can pedestrians/wheelchair users move past the bus stop on the footpath, without having to step down on the road? ",Is the space behind the bus shelter usable?,How many bus shelters are placed close to each other?,Where do buses typically stop? ,Where do buses typically stop? /At the bus stop – buses pull up to the shelter/marked stop,Where do buses typically stop? /Away from the bus stop – buses stop before or beyond the shelter/marked location,Where do buses typically stop? /Bus stop not clearly marked,Where do buses typically stop? /Unsure / not observed,How far away from the kerb/Bus stop platform does the bus stop?,Tick all access features present at this bus stop,Tick all access features present at this bus stop/Footpath available to reach the bus stop from both directions,"Tick all access features present at this bus stop/Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",Tick all access features present at this bus stop/Ramp for wheelchair users to access the bus stop,"Tick all access features present at this bus stop/Ramp is in usable condition (not too steep, not broken, nor blocked)",Tick all access features present at this bus stop/Tactile paving for visually impaired users,Tick all access features present at this bus stop/Pedestrian crossing at/close to the bus stop to cross the road?,Tick all access features present at this bus stop/None of the above,Check this box if the bus stop's kerb is higher than 15cms or has steps to access ,Is the bus stop area free of encroachments?,Is there evidence of water-logging or poor drainage around the stop?," How safe does this bus stop feel, particularly at night?", Is the bus stop big enough for the number of people who typically wait here?,Does the bus stop have a roof that shelters people from rain?,Is there adequate shade during the day for people waiting?,Is there adequate lighting at the bus stop during the night?,"If seated at the bus stop, can you clearly see an approaching bus?",Is the seating provided comfortable?,Is the name of the bus stop clearly displayed?,Is bus route information displayed at the stop?,Tick all amenities present at this bus stop,Tick all amenities present at this bus stop/Seating / bench,Tick all amenities present at this bus stop/Sufficient seating for the number of people typically waiting,Tick all amenities present at this bus stop/Dustbin / waste bin,Tick all amenities present at this bus stop/Drinking water (tap or dispenser),Tick all amenities present at this bus stop/Public toilet nearby (within eyesight),Tick all amenities present at this bus stop/CCTV camera,Tick all amenities present at this bus stop/Digital information boards with real time arrival information and service alerts,Tick all amenities present at this bus stop/None of the Above,What is the primary land use or activity near this bus stop?,Does the bus shelter carry advertisements?,Any other observations about this bus stop?,Top 1–2 improvements you would recommend for this stop,Photo of Bus Stop Front,Photo of Bus Stop Front_URL,Photo of Bus Stop from Side ,Photo of Bus Stop from Side _URL,Photo of any other key observation 1 ,Photo of any other key observation 1 _URL,Photo of any other key observation 2 ,Photo of any other key observation 2 _URL,id,uuid,submission_time,_validation_status,notes,status,version,tags,meta/rootUuid,index,city,source_form,latitude,longitude,coordinate_source,location_flag
2026-06-08T06:20:57.622000+05:30,2026-06-08T06:42:13.228000+05:30,2026-06-08T06:24:00+05:30,KAMARAJAR SALAI BUS STOP,13.0437948 80.2092505 -61.10000228881836 23.39699935913086,13.0437948,80.2092505,-61.10000229,23.39699936,,Other Metal Bus Shelter (Other than Stainless Steel),Unclean/Poorly Maintained,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,No,No,No,,2,Unsure / not observed,0,0,0,1,Unsure / not observed,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",Unsure,Unable to assess (audit done only in daytime),Unsure,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,Unsure / Not observed,Yes – clear sightline to see the approaching buses,No seating available,"Yes – but faded, small, or difficult to read",No information displayed at all,None of the Above,0,0,0,0,0,0,0,1,"Mixed Use - A mix of commercial/residential/office, etc",Yes – advertisements present but passenger information is still clearly visible,The footpath is in a really bad condition.,"Revamp the bus stop structure: the footpath, shade, add seats. Maintain cleanliness.",24685-6_42_2.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773487569/attachments/attBnvCccjZUPtmoWQmHSBJT/,24686-6_42_8.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773487569/attachments/attTwgZ2hyniQimgKh89LYCb/,,,,,773487569,f71e4273-ac4e-43bd-a71d-706a7c1e4da6,2026-06-08T06:42:17+05:30,,,submitted_via_web,v9nnSVBz8Dj2TFQddrtot2,,uuid:f71e4273-ac4e-43bd-a71d-706a7c1e4da6,3,Chennai,Bengaluru,13.0437948,80.2092505,device_gps,OK
2026-06-08T13:19:17.130000+05:30,2026-06-09T16:44:17.815000+05:30,2026-06-08T13:20:00+05:30,"Bus shelters in Adyar SP road, near Adyar Bus terminus. 3 Bus stops.",13.000208 80.255031 -68 23.260000228881836,13.000208,80.255031,-68,23.26000023,,No Shelter and No Signboard,,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,Yes,Yes,Yes,Yes - It's free of obstructions and feels safe to use,,Away from the bus stop – buses stop before or beyond the shelter/marked location Bus stop not clearly marked,0,1,1,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",1,1,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",,,No – exposed to full sun,"Yes – lit by nearby street lights, shop fronts, or advertisement boards",,,,,None of the Above,0,0,0,0,0,0,0,1,"Mostly commercial - Retail shops. restaurants, cafes, markets, etc",,Bus shelters not provided in spite of repeated requests last many years.,Bus shelters to be provided. Bus route number boards to be provided.,1001095257-16_43_52.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775077662/attachments/attWbQHNYbxiZ9cJtzX9ujcg/,1001087211-13_27_57.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775077662/attachments/attAmpbikaZtXdvTaerHrhYj/,1001087210-13_28_39.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775077662/attachments/attyjo9gQxsfyZB5KoEfTCyC/,,,775077662,bc7421ea-2c55-46b8-a417-10fd1e0911fd,2026-06-09T16:44:21+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:bc7421ea-2c55-46b8-a417-10fd1e0911fd,1,Chennai,Chennai,13.000208,80.255031,device_gps,OK
2026-06-09T19:36:25.051000+05:30,2026-06-09T19:45:23.257000+05:30,2026-06-09T19:37:00+05:30,Ambedkar play ground,13.078071 80.179797 -61.80000305175781 3.700000047683716,13.078071,80.179797,-61.80000305,3.700000048,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,No,No,,1 - this is a standalone shelter ,Unsure / not observed,0,0,0,1,Unsure / not observed,"Ramp is in usable condition (not too steep, not broken, nor blocked)",0,0,0,1,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",Unsure,"Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,Yes – roof is intact and effective,Yes - sufficient shade from surrounding trees,Partially – some light but insufficient,"No – sightline is blocked (by structure, advertisement boards, trees, or parked vehicles)",No - poor back support / posture,Yes – name is prominently visible and legible,"Yes – but information is unclear, faded, or partially missing",Seating / bench Sufficient seating for the number of people typically waiting,1,1,0,0,0,0,0,0,"Mostly Residential - Housing, Apartments, etc",Yes – advertisements dominate; passenger information is secondary,People lying on the bus stop,"Need to clean , proper lighting and people visibility to improved",1000472058-19_45_0.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775294439/attachments/attZQBhWD7xR4o53Sys3kyZf/,1000472054-19_45_5.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775294439/attachments/attYXwvBpDUsTwmmq7gD8b3A/,1000472053-19_45_14.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775294439/attachments/attPysSCJL4smQqwtajoWVBM/,1000472055-19_45_20.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775294439/attachments/attAXtkRczUv44ugeDyDE8Gt/,775294439,f658e16d-08fa-4761-84cd-0dfdcf148753,2026-06-09T19:45:26+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:f658e16d-08fa-4761-84cd-0dfdcf148753,2,Chennai,Chennai,13.078071,80.179797,device_gps,OK
2026-06-10T07:30:33.831000+05:30,2026-06-10T07:36:44.757000+05:30,2026-06-10T07:31:00+05:30,[surveyor name removed],12.905701 80.207407 -78.60000610351562 42.11600112915039,12.905701,80.207407,-78.6000061,42.11600113,,Other,Unclean/Poorly Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,No,No,,1 - this is a standalone shelter ,Bus stop not clearly marked,0,0,1,0,Perfect / Flush (Less than 30 cm): Passengers can step directly from the footpath onto the bus.,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",No – exposed to full sun,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,No – name is missing,No information displayed at all,Seating / bench,1,0,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements dominate; passenger information is secondary,Unclean,"Lighting, information and proper shed",1000491141-7_36_26.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/att3stS8i897wtuvEMTxoNqQ/,1000491142-7_36_33.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/attkRCA2PzucbVFswnDNRHWg/,1000491143-7_36_38.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775714603/attachments/attjKHC2TPeMY2FeX2tGLMb2/,,,775714603,472c389d-87c3-44cf-aa83-add31c6e6212,2026-06-10T07:36:50+05:30,,,submitted_via_web,vnyH9EFV4wr6YZ5xP9XFKr,,uuid:472c389d-87c3-44cf-aa83-add31c6e6212,3,Chennai,Chennai,12.905701,80.207407,device_gps,OK
2026-06-10T07:38:51.187000+05:30,2026-06-10T07:43:06.806000+05:30,2026-06-10T07:39:00+05:30,[surveyor name removed],12.905413 80.207782 -78.60000610351562 20.437999725341797,12.905413,80.207782,-78.6000061,20.43799973,,Other,Satisfactory – minor wear/dusty but usable,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,No,No,,1 - this is a standalone shelter ,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,Footpath available to reach the bus stop from both directions,1,0,0,0,0,0,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Unsafe – poorly lit, isolated, or has a history of feeling threatening", No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,No – name is missing,No information displayed at all,Sufficient seating for the number of people typically waiting,0,1,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",No advertisements,"Poor seating space, no information",Information of buses and routes,1000491146-7_42_53.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/attHjwUoWkrQC6mSZKuQG7Sj/,1000491145-7_42_56.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/att8VBPu3S2hzotbYVWyrHqf/,1000491148-7_43_1.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775716179/attachments/attdBi9heurgVj3pvLUv46Ki/,,,775716179,1082286d-12cc-4392-8022-4c405863a0e7,2026-06-10T07:43:12+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:1082286d-12cc-4392-8022-4c405863a0e7,4,Chennai,Chennai,12.905413,80.207782,device_gps,OK
2026-06-09T13:31:24.993000+05:30,2026-06-09T13:42:48.666000+05:30,2026-06-09T13:31:00+05:30,Billroth Hospital Bus stop,13.0270484 80.2561529 0 0,13.0270484,80.2561529,0,0,,Stainless Steel Bus Shelter, Clean and Well Maintained,On the road edge / footpath edge – directly adjacent to traffic The road/footpath is too narrow ,0,1,1,,No,No,No,,2,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,Footpath available to reach the bus stop from both directions Pedestrian crossing at/close to the bus stop to cross the road?,1,0,0,0,0,1,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",Unsure,"Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Yes - from both bus shelter AND trees,Unsure / Not observed,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",Yes – name is prominently visible and legible,Yes – route list is prominently displayed and appears current,Seating / bench Sufficient seating for the number of people typically waiting Digital information boards with real time arrival information and service alerts,1,1,0,0,0,0,1,0,"Mostly Residential - Housing, Apartments, etc",Yes – advertisements dominate; passenger information is secondary,Completely blocks pedestrian movement,,IMG_4806-13_39_30.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775852612/attachments/attxgVLywwM4P8mpS7vwW6Yr/,IMG_4801-13_39_39.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775852612/attachments/att7gn4c673u2uTxqL37Tgcr/,IMG_4802-13_39_47.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775852612/attachments/attqGDqJjUySxVB5iVBZMXa2/,IMG_4803-13_39_56.jpeg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/775852612/attachments/attQgxJuxNNAWosAyi5iAWFm/,775852612,c117c52d-fbd1-49b3-a9c9-5b013171846e,2026-06-10T11:22:41+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:c117c52d-fbd1-49b3-a9c9-5b013171846e,5,Chennai,Chennai,13.0270484,80.2561529,device_gps,OK
2026-06-09T19:45:23.469000+05:30,2026-06-10T18:47:10.676000+05:30,2026-06-10T18:37:00+05:30,Dr ambedkar playground bus stop,13.07809 80.17907 -61.70000076293945 23.832000732421875,13.07809,80.17907,-61.70000076,23.83200073,,Stainless Steel Bus Shelter, Clean and Well Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,No,No,,1 - this is a standalone shelter ,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath available to reach the bus stop from both directions Ramp for wheelchair users to access the bus stop Ramp is in usable condition (not too steep, not broken, nor blocked)",1,0,1,1,0,0,0,," Yes – fully accessible, no obstructions","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",Yes – name is prominently visible and legible,Yes – but information seems outdated or unreliable,Seating / bench Sufficient seating for the number of people typically waiting Dustbin / waste bin,1,1,1,0,0,0,0,0,"Mostly Residential - Housing, Apartments, etc",Yes – advertisements dominate; passenger information is secondary,A big garbage dump at the back side. Too stingy smell.,Need to clean the garbage at the back. Need a platform like structure also. Bus stop filled the full pathway.,1000472842-18_44_40.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/776455183/attachments/atteT6UdBdYqdALxDvSBns3R/,1000472845-18_45_53.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/776455183/attachments/attyxAEVhidS4khXrLuFCjza/,1000472847-18_45_49.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/776455183/attachments/attrJiFgdi2NCLyX6AmbyFAE/,1000472846-18_46_1.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/776455183/attachments/attR7G47qMfoJ62yio93sRdd/,776455183,91a201ea-86e9-4462-8870-849a816d663a,2026-06-10T18:47:15+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:91a201ea-86e9-4462-8870-849a816d663a,6,Chennai,Chennai,13.07809,80.17907,device_gps,OK
2026-06-11T09:04:05.494000+05:30,2026-06-11T09:22:09.446000+05:30,2026-06-11T09:04:00+05:30,Thalambur Kootu road,12.846743 80.199998 -69.60000610351562 19.531999588012695,12.846743,80.199998,-69.6000061,19.53199959,,Concrete/Masonry Bus Shelter,Unclean/Poorly Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,No,No,,1 - this is a standalone shelter ,At the bus stop – buses pull up to the shelter/marked stop Bus stop not clearly marked,1,0,1,0,"Way Out in the Road (More than 1 meter): The bus stops far from the footpath, blocking a lane of traffic, forcing people to walk across active traffic to board the bus",None of the above,0,0,0,0,0,0,1,,Heavily encroached – the stop is largely unusable because of obstructions,No – area appears well-drained,"Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,No information displayed at all,Seating / bench Sufficient seating for the number of people typically waiting,1,1,0,0,0,0,0,0,"Mixed Use - A mix of commercial/residential/office, etc",Yes – advertisements dominate; passenger information is secondary,Nearby auto stand literally parks the autos in front of the bus stop to lure the waiting people into their share autos,Posters stuck in walls and torn and new posters stuck; place is unclean. Tiles at the stairs chipped off; if neatly maintained it would attract more users,1000315676-9_19_42.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777103766/attachments/attqtdRa86C8vKYsC9sAecUY/,1000315686-9_20_15.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777103766/attachments/att9Z8kdjZBSm9STvC5cKwVF/,,,1000315687-9_20_20.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777103766/attachments/attrKEodgE5QbrcweqRogux6/,777103766,b764c3f8-2fa4-4281-a22b-7171a7aa1bec,2026-06-11T09:22:14+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:b764c3f8-2fa4-4281-a22b-7171a7aa1bec,7,Chennai,Chennai,12.846743,80.199998,device_gps,OK
2026-06-11T10:08:27.380000+05:30,2026-06-11T10:12:12.500000+05:30,2026-06-11T10:08:00+05:30,[surveyor name removed],12.90191 80.217586 -82.88473510742188 9.177000045776367,12.90191,80.217586,-82.88473511,9.177000046,,Stainless Steel Bus Shelter,Unclean/Poorly Maintained,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,Yes,No,No,No - It's obstructed due to encroachment ,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,"Way Out in the Road (More than 1 meter): The bus stops far from the footpath, blocking a lane of traffic, forcing people to walk across active traffic to board the bus",None of the above,0,0,0,0,0,0,1,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,"Unsafe – poorly lit, isolated, or has a history of feeling threatening", No – overcrowded or high number of people standing on the road,Yes – roof is intact and effective,Partial – some shade but insufficient,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,No information displayed at all,Seating / bench,1,0,0,0,0,0,0,0,"Mostly commercial - Office buildings, malls, large stores, etc",Yes – advertisements dominate; passenger information is secondary,Lot of encroachments,Remove all encroachments,1000492155-10_11_35.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attbigbwWh598i7uA8B5amEe/,1000492156-10_11_44.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attmyYxdzdWQZe2v5BLe4Ldq/,1000492158-10_11_54.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attpffnPU6dWb7RQoasQ8zCB/,1000492156-10_12_2.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777128475/attachments/attWzY9uWzZBs4Faui5JnX9o/,777128475,9c691ff8-824a-4c90-8be3-e659aeb6383f,2026-06-11T10:12:19+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:9c691ff8-824a-4c90-8be3-e659aeb6383f,8,Chennai,Chennai,12.90191,80.217586,device_gps,OK
2026-06-11T21:09:28.224000+05:30,2026-06-11T21:14:43.446000+05:30,2026-06-11T21:09:00+05:30,West balaji nagar bus stop,13.132052 80.165172 -51 7.6529998779296875,13.132052,80.165172,-51,7.652999878,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,No,No,No,,3,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,No footpath available,None of the above,0,0,0,0,0,0,1,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Yes - sufficient shade from surrounding trees,Yes – the bus shelter itself has a working light,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus","Yes – but faded, small, or difficult to read",No information displayed at all,Sufficient seating for the number of people typically waiting,0,1,0,0,0,0,0,0,"Mostly commercial - Office buildings, malls, large stores, etc",Yes – advertisements dominate; passenger information is secondary,Bus bay barrigadebto be placed  and to be cleaned wellbthe busbshelter daily,"The pavement , the ramp and the enhancement ofvthe buabatopnroof shelter",20260611_203454-21_13_30.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777897517/attachments/attH6Y3LeRLrumX9mbDjusk7/,20260611_203409-21_13_39.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777897517/attachments/attPEmxVudixetcMPoWPkwJw/,17811926231157365735698643688906-21_13_53.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777897517/attachments/attEzCySRFPPz2zDMnmUqY9M/,17811926703908044376466964792646-21_14_38.jpg,https://kf.kobotoolbox.org/api/v2/assets/axZaE8YRFpZYaQWWvuZPyu/data/777897517/attachments/atth4oG8dJAenrXWPXCHMABn/,777897517,2c505c48-cd74-4cda-ae67-4049434440b8,2026-06-11T21:14:49+05:30,,,submitted_via_web,v73kjXt7geHumXyTDeh2CX,,uuid:2c505c48-cd74-4cda-ae67-4049434440b8,9,Chennai,Chennai,13.132052,80.165172,device_gps,OK
