Bus Stop,Priority Score,Priority Rank,Shelter,Safety,Road Interface,Environment,Comfort,Information
ஆடுத்தொட்டி,11,1,2,0,2,2,3,2
Fire station Bus stand Vysarpadi,11,1,2,0,2,2,3,2
Massodhi,11,1,2,0,2,2,3,2
கணேசபுரம்,11,1,2,0,2,2,3,2
Jj nagar East bus stop,10,5,1,0,2,2,3,2
Jj east junction,10,5,1,0,2,2,3,2
MKB POLICE STATION,9,7,2,0,2,2,2,1
Brindha theater,9,7,2,0,2,1,3,1
ஜவஹர் நகர்,9,7,1,0,2,2,3,1
Meersahipet Market,9,7,2,0,2,1,2,2
T.N.H.B Flats (towards ashok nager),9,7,1,0,2,1,3,2
நாய் கோட்ரஸ்,9,7,2,0,2,1,2,2
பேசின் ரோடு இந்திரா காந்தி நகர்,9,7,1,0,2,2,2,2
MKB  Nagar,8,14,1,0,2,2,2,1
Brindha theatre moolakadai,8,14,2,0,1,1,2,2
[surveyor name removed],8,14,1,0,2,1,2,2
Pallikarnai Bus Stop,8,14,1,0,2,2,1,2
LB Road Jayanthi Theare Bus Stop _ Indira Nagar side,8,14,1,0,2,1,2,2
Vadapalani Murugan Temple (towards Kodambakkam),8,14,1,0,2,2,1,2
மாத்தூர்,8,14,0,0,2,2,3,1
Ispahani Centre Bus stop,8,14,1,0,2,2,1,2
மாத்தூர்,8,14,0,0,2,1,3,2
Perumbakkam no name,8,14,1,0,2,1,2,2
Sakhi JV,8,14,1,0,2,2,1,2
Meersahipet Market,8,14,1,0,2,1,2,2
DLF /L&T Ramapuram (Towards Porur),8,14,1,0,2,2,1,2
Ottiyambakkam Main Road towards Medavakkam,8,14,2,0,0,1,3,2
Navalur AGS,8,14,1,0,2,1,2,2
Semmencheri Aazhamaram,8,14,2,0,2,2,0,2
Panagal maligai ( towards Guindy),8,14,1,0,2,1,2,2
Sathyabhama Semmencheri,8,14,1,0,2,2,1,2
Todd hunder nagar (or) Veterinary hospital (towards Gundy),8,14,2,0,2,1,1,2
Kumaran Nagar Semmencheri,8,14,2,0,2,1,1,2
Sithalapakkam(Towards Ottiyambakkam)),8,14,1,0,2,1,2,2
Wall tax road depot,8,14,1,0,2,2,3,0
T17 Perumbakkam police station,8,14,1,0,2,1,2,2
No name looks to be Perumbakkam limit,8,14,1,0,2,1,2,2
Moolakadai bus stand 2,8,14,1,0,1,2,2,2
தீயணைப்பு நிலையம் வியாசர்பாடி,8,14,0,0,2,2,2,2
Don Bosco school,8,14,0,0,2,1,3,2
KAMARAJAR SALAI BUS STOP,8,14,1,0,2,1,2,2
Tiruvanmiyur Main Bus Stop,7,42,0,0,2,1,2,2
M.P. தேவதாஸ் உயர்நிலைப்பள்ளி,7,42,2,0,2,2,1,0
Church road,7,42,1,0,2,1,1,2
மூலகொத்தளம்,7,42,0,0,2,1,2,2
Aminjikarai Tollgate Bus Stop - Towards Koyambedu,7,42,1,0,2,1,1,2
புளியந்தோப்பு காவல் நிலையம் p1,7,42,0,0,2,2,1,2
Moolakadai bus stand,7,42,1,0,1,1,2,2
Simpson moolakadai,7,42,0,0,2,2,2,1
Moolakadai bus stand,7,42,0,0,1,1,3,2
